Disease_pair,Disease_A,Disease_B,RR,Comorbidity_RR=0,Comorbidity_RR=1
cardiovascular_diseases & heart_arrest,cardiovascular_diseases,heart_arrest,1.765751,1,1
cardiovascular_diseases & respiratory_tract_diseases,cardiovascular_diseases,respiratory_tract_diseases,1.765751,1,1
gout & hemorrhagic_disorders,gout,hemorrhagic_disorders,1.765402,1,1
anemia_hemolytic & retinitis_pigmentosa,anemia_hemolytic,retinitis_pigmentosa,1.763818,1,1
basal_ganglia_diseases & osteoporosis,basal_ganglia_diseases,osteoporosis,1.762153,1,1
anemia_hemolytic & gastroenteritis,anemia_hemolytic,gastroenteritis,1.762084,1,1
anemia_hemolytic & bone_diseases_metabolic,anemia_hemolytic,bone_diseases_metabolic,1.762005,1,1
arrhythmias_cardiac & coronary_disease,arrhythmias_cardiac,coronary_disease,1.761099,1,1
blood_coagulation_disorders & gout,blood_coagulation_disorders,gout,1.759511,1,1
blood_coagulation_disorders_inherited & gout,blood_coagulation_disorders_inherited,gout,1.759511,1,1
alzheimer_disease & osteoporosis,alzheimer_disease,osteoporosis,1.759187,1,1
cardiomegaly & stomatognathic_diseases,cardiomegaly,stomatognathic_diseases,1.759015,1,1
bone_diseases_metabolic & exophthalmos,bone_diseases_metabolic,exophthalmos,1.758967,1,1
cardiomyopathies & lung_diseases_obstructive,cardiomyopathies,lung_diseases_obstructive,1.758939,1,1
cardiomyopathy_hypertrophic & lung_diseases_obstructive,cardiomyopathy_hypertrophic,lung_diseases_obstructive,1.758939,1,1
colitis_ulcerative & colorectal_neoplasms,colitis_ulcerative,colorectal_neoplasms,1.758786,1,1
carbohydrate_metabolism_inborn_errors & gout,carbohydrate_metabolism_inborn_errors,gout,1.758411,1,1
dyskinesias & varicose_veins,dyskinesias,varicose_veins,1.758338,1,1
adrenal_gland_diseases & neoplasms_germ_cell_and_embryonal,adrenal_gland_diseases,neoplasms_germ_cell_and_embryonal,1.758257,1,1
adrenal_gland_diseases & ovarian_neoplasms,adrenal_gland_diseases,ovarian_neoplasms,1.758257,1,1
gastroenteritis & osteoporosis,gastroenteritis,osteoporosis,1.75804,1,1
genital_diseases_female & polyneuropathies,genital_diseases_female,polyneuropathies,1.757944,1,1
colorectal_neoplasms & metabolism_inborn_errors,colorectal_neoplasms,metabolism_inborn_errors,1.757754,1,1
gastroenteritis & graves_disease,gastroenteritis,graves_disease,1.757339,1,1
adrenal_gland_diseases & diabetes_mellitus_type_1,adrenal_gland_diseases,diabetes_mellitus_type_1,1.757264,1,1
adrenal_gland_diseases & hair_diseases,adrenal_gland_diseases,hair_diseases,1.757155,1,1
basal_ganglia_diseases & vascular_diseases,basal_ganglia_diseases,vascular_diseases,1.756155,1,1
cranial_nerve_diseases & gastroenteritis,cranial_nerve_diseases,gastroenteritis,1.755894,1,1
epilepsy & lipidoses,epilepsy,lipidoses,1.755505,1,1
crohn_disease & multiple_sclerosis,crohn_disease,multiple_sclerosis,1.754866,1,1
respiratory_tract_diseases & uveitis,respiratory_tract_diseases,uveitis,1.754226,1,1
anemia & death_sudden,anemia,death_sudden,1.753405,1,1
epilepsy & hypersensitivity,epilepsy,hypersensitivity,1.752249,1,1
hypotrichosis & osteoporosis,hypotrichosis,osteoporosis,1.752175,1,1
hypothalamic_diseases & lung_diseases_obstructive,hypothalamic_diseases,lung_diseases_obstructive,1.750787,1,1
arthritis & lupus_erythematosus_systemic,arthritis,lupus_erythematosus_systemic,1.750698,1,1
heart_arrest & malformations_of_cortical_development,heart_arrest,malformations_of_cortical_development,1.750271,1,1
hair_diseases & malabsorption_syndromes,hair_diseases,malabsorption_syndromes,1.749504,1,1
heart_arrest & heart_defects_congenital,heart_arrest,heart_defects_congenital,1.749037,1,1
epilepsy & stomatognathic_diseases,epilepsy,stomatognathic_diseases,1.748922,1,1
amino_acid_metabolism_inborn_errors & sleep_disorders,amino_acid_metabolism_inborn_errors,sleep_disorders,1.748199,1,1
albuminuria & lipidoses,albuminuria,lipidoses,1.748173,1,1
lipidoses & proteinuria,lipidoses,proteinuria,1.748173,1,1
carbohydrate_metabolism_inborn_errors & lupus_erythematosus_systemic,carbohydrate_metabolism_inborn_errors,lupus_erythematosus_systemic,1.747895,1,1
joint_diseases & vasculitis,joint_diseases,vasculitis,1.747743,1,1
osteoporosis & respiratory_tract_diseases,osteoporosis,respiratory_tract_diseases,1.746521,1,1
cardiomyopathies & diabetes_mellitus_type_2,cardiomyopathies,diabetes_mellitus_type_2,1.746294,1,1
cardiomyopathy_hypertrophic & diabetes_mellitus_type_2,cardiomyopathy_hypertrophic,diabetes_mellitus_type_2,1.746294,1,1
anemia_hemolytic & osteoporosis,anemia_hemolytic,osteoporosis,1.746168,1,1
hair_diseases & macular_degeneration,hair_diseases,macular_degeneration,1.745791,1,1
joint_diseases & movement_disorders,joint_diseases,movement_disorders,1.745368,1,1
osteoporosis & polyneuropathies,osteoporosis,polyneuropathies,1.745222,1,1
death_sudden & myeloproliferative_disorders,death_sudden,myeloproliferative_disorders,1.74469,1,1
immunologic_deficiency_syndromes & pancreatic_diseases,immunologic_deficiency_syndromes,pancreatic_diseases,1.74447,1,1
amino_acid_metabolism_inborn_errors & bile_duct_diseases,amino_acid_metabolism_inborn_errors,bile_duct_diseases,1.744256,1,1
colitis_ulcerative & lymphatic_diseases,colitis_ulcerative,lymphatic_diseases,1.744101,1,1
colorectal_neoplasms & lymphatic_diseases,colorectal_neoplasms,lymphatic_diseases,1.743829,1,1
gout & muscular_diseases,gout,muscular_diseases,1.743524,1,1
asthma & sleep_disorders,asthma,sleep_disorders,1.743482,1,1
stomatognathic_diseases & uveitis,stomatognathic_diseases,uveitis,1.743198,1,1
anemia_hemolytic & graves_disease,anemia_hemolytic,graves_disease,1.742289,1,1
craniofacial_abnormalities & joint_diseases,craniofacial_abnormalities,joint_diseases,1.741512,1,1
gout & precursor_cell_lymphoblastic_leukemia_lymphoma,gout,precursor_cell_lymphoblastic_leukemia_lymphoma,1.740927,1,1
osteoporosis & parkinsonian_disorders,osteoporosis,parkinsonian_disorders,1.740433,1,1
goiter & spinal_cord_diseases,goiter,spinal_cord_diseases,1.740325,1,1
purine_pyrimidine_metabolism_inborn_errors & rheumatic_diseases,purine_pyrimidine_metabolism_inborn_errors,rheumatic_diseases,1.740138,1,1
respiratory_tract_diseases & rheumatic_diseases,respiratory_tract_diseases,rheumatic_diseases,1.740138,1,1
colorectal_neoplasms & spinal_cord_diseases,colorectal_neoplasms,spinal_cord_diseases,1.738724,1,1
asthma & gastroenteritis,asthma,gastroenteritis,1.738116,1,1
carbohydrate_metabolism_inborn_errors & death_sudden,carbohydrate_metabolism_inborn_errors,death_sudden,1.7358,1,1
myeloproliferative_disorders & osteoporosis,myeloproliferative_disorders,osteoporosis,1.734813,1,1
dyskinesias & immune_system_diseases,dyskinesias,immune_system_diseases,1.734339,1,1
epilepsy & hypopigmentation,epilepsy,hypopigmentation,1.733527,1,1
autoimmune_diseases & cranial_nerve_diseases,autoimmune_diseases,cranial_nerve_diseases,1.732865,1,1
death_sudden & gout,death_sudden,gout,1.732829,1,1
autoimmune_diseases & genital_diseases_female,autoimmune_diseases,genital_diseases_female,1.732732,1,1
leprosy & varicose_veins,leprosy,varicose_veins,1.732677,1,1
colitis_ulcerative & death_sudden,colitis_ulcerative,death_sudden,1.732488,1,1
crohn_disease & spinocerebellar_degenerations,crohn_disease,spinocerebellar_degenerations,1.731593,1,1
arthritis_rheumatoid & colitis_ulcerative,arthritis_rheumatoid,colitis_ulcerative,1.731485,1,1
anemia_hemolytic & metabolism_inborn_errors,anemia_hemolytic,metabolism_inborn_errors,1.731315,1,1
bone_diseases_metabolic & macular_degeneration,bone_diseases_metabolic,macular_degeneration,1.730258,1,1
neoplasms_germ_cell_and_embryonal & peripheral_nervous_system_diseases,neoplasms_germ_cell_and_embryonal,peripheral_nervous_system_diseases,1.729898,1,1
ovarian_neoplasms & peripheral_nervous_system_diseases,ovarian_neoplasms,peripheral_nervous_system_diseases,1.729898,1,1
hair_diseases & rheumatic_diseases,hair_diseases,rheumatic_diseases,1.728924,1,1
lupus_erythematosus_systemic & sleep_disorders,lupus_erythematosus_systemic,sleep_disorders,1.728497,1,1
head_and_neck_neoplasms & hemorrhagic_disorders,head_and_neck_neoplasms,hemorrhagic_disorders,1.728482,1,1
behcet_syndrome & esophageal_diseases,behcet_syndrome,esophageal_diseases,1.728482,1,1
exophthalmos & head_and_neck_neoplasms,exophthalmos,head_and_neck_neoplasms,1.726799,1,1
endocrine_system_diseases & lymphoma,endocrine_system_diseases,lymphoma,1.726758,1,1
carbohydrate_metabolism_inborn_errors & dyskinesias,carbohydrate_metabolism_inborn_errors,dyskinesias,1.726629,1,1
hypopigmentation & rheumatic_diseases,hypopigmentation,rheumatic_diseases,1.726579,1,1
hyperthyroidism & immune_system_diseases,hyperthyroidism,immune_system_diseases,1.726313,1,1
cardiomegaly & dyssomnias,cardiomegaly,dyssomnias,1.726057,1,1
arrhythmias_cardiac & glomerulonephritis,arrhythmias_cardiac,glomerulonephritis,1.725954,1,1
behcet_syndrome & psoriasis,behcet_syndrome,psoriasis,1.725836,1,1
cardiomegaly & joint_diseases,cardiomegaly,joint_diseases,1.72532,1,1
gastroenteritis & pancreatic_diseases,gastroenteritis,pancreatic_diseases,1.725175,1,1
demyelinating_diseases & lupus_erythematosus_systemic,demyelinating_diseases,lupus_erythematosus_systemic,1.724636,1,1
metal_metabolism_inborn_errors & neoplasms,metal_metabolism_inborn_errors,neoplasms,1.724511,1,1
cholestasis & hypersensitivity,cholestasis,hypersensitivity,1.724474,1,1
blood_coagulation_disorders & spinal_cord_diseases,blood_coagulation_disorders,spinal_cord_diseases,1.723794,1,1
blood_coagulation_disorders_inherited & spinal_cord_diseases,blood_coagulation_disorders_inherited,spinal_cord_diseases,1.723794,1,1
hyperthyroidism & intellectual_disability,hyperthyroidism,intellectual_disability,1.723023,1,1
charcot_marie_tooth_disease & rheumatic_diseases,charcot_marie_tooth_disease,rheumatic_diseases,1.722788,1,1
hereditary_sensory_and_motor_neuropathy & rheumatic_diseases,hereditary_sensory_and_motor_neuropathy,rheumatic_diseases,1.722788,1,1
amino_acid_metabolism_inborn_errors & amyotrophic_lateral_sclerosis,amino_acid_metabolism_inborn_errors,amyotrophic_lateral_sclerosis,1.7227,1,1
amino_acid_metabolism_inborn_errors & motor_neuron_disease,amino_acid_metabolism_inborn_errors,motor_neuron_disease,1.7227,1,1
bone_diseases_metabolic & neoplasms_connective_and_soft_tissue,bone_diseases_metabolic,neoplasms_connective_and_soft_tissue,1.722498,1,1
cardiomegaly & gout,cardiomegaly,gout,1.721179,1,1
immune_system_diseases & intellectual_disability,immune_system_diseases,intellectual_disability,1.721001,1,1
arterial_occlusive_diseases & hemorrhagic_disorders,arterial_occlusive_diseases,hemorrhagic_disorders,1.720633,1,1
autoimmune_diseases & pancreatic_diseases,autoimmune_diseases,pancreatic_diseases,1.720404,1,1
behcet_syndrome & pancreatic_diseases,behcet_syndrome,pancreatic_diseases,1.720404,1,1
bone_diseases_metabolic & epilepsy,bone_diseases_metabolic,epilepsy,1.720089,1,1
arthritis_rheumatoid & spondylitis_ankylosing,arthritis_rheumatoid,spondylitis_ankylosing,1.719771,1,1
graves_disease & lupus_erythematosus_systemic,graves_disease,lupus_erythematosus_systemic,1.719475,1,1
anemia & bone_diseases,anemia,bone_diseases,1.719098,1,1
alzheimer_disease & intellectual_disability,alzheimer_disease,intellectual_disability,1.718695,1,1
adrenal_gland_diseases & liver_cirrhosis,adrenal_gland_diseases,liver_cirrhosis,1.718458,1,1
adrenal_gland_diseases & liver_cirrhosis_biliary,adrenal_gland_diseases,liver_cirrhosis_biliary,1.718458,1,1
aneurysm & gout,aneurysm,gout,1.717861,1,1
demyelinating_diseases & gastroenteritis,demyelinating_diseases,gastroenteritis,1.717805,1,1
goiter & intellectual_disability,goiter,intellectual_disability,1.71619,1,1
behcet_syndrome & hyperthyroidism,behcet_syndrome,hyperthyroidism,1.715987,1,1
bone_diseases_metabolic & hair_diseases,bone_diseases_metabolic,hair_diseases,1.715364,1,1
autoimmune_diseases & endocrine_system_diseases,autoimmune_diseases,endocrine_system_diseases,1.714762,1,1
autoimmune_diseases & psoriasis,autoimmune_diseases,psoriasis,1.714762,1,1
goiter & retinitis_pigmentosa,goiter,retinitis_pigmentosa,1.714472,1,1
endocrine_system_diseases & spinal_cord_diseases,endocrine_system_diseases,spinal_cord_diseases,1.713957,1,1
spinal_cord_diseases & thyroid_diseases,spinal_cord_diseases,thyroid_diseases,1.713957,1,1
cardiomegaly & respiratory_tract_diseases,cardiomegaly,respiratory_tract_diseases,1.713366,1,1
cardiovascular_diseases & lung_diseases_obstructive,cardiovascular_diseases,lung_diseases_obstructive,1.71316,1,1
carbohydrate_metabolism_inborn_errors & cardiomyopathies,carbohydrate_metabolism_inborn_errors,cardiomyopathies,1.712943,1,1
carbohydrate_metabolism_inborn_errors & cardiomyopathy_hypertrophic,carbohydrate_metabolism_inborn_errors,cardiomyopathy_hypertrophic,1.712943,1,1
demyelinating_diseases & rheumatic_diseases,demyelinating_diseases,rheumatic_diseases,1.712241,1,1
intestinal_neoplasms & stomatognathic_diseases,intestinal_neoplasms,stomatognathic_diseases,1.712189,1,1
anemia_aplastic & lung_diseases_obstructive,anemia_aplastic,lung_diseases_obstructive,1.711798,1,1
albuminuria & overweight,albuminuria,overweight,1.711451,1,1
overweight & proteinuria,overweight,proteinuria,1.711451,1,1
anemia & osteoporosis,anemia,osteoporosis,1.711125,1,1
glomerulonephritis & retinitis_pigmentosa,glomerulonephritis,retinitis_pigmentosa,1.710417,1,1
gastroenteritis & leukemia,gastroenteritis,leukemia,1.710388,1,1
glioma & head_and_neck_neoplasms,glioma,head_and_neck_neoplasms,1.709705,1,1
lupus_erythematosus_systemic & movement_disorders,lupus_erythematosus_systemic,movement_disorders,1.708697,1,1
basal_ganglia_diseases & leukemia_lymphocytic_chronic_b_cell,basal_ganglia_diseases,leukemia_lymphocytic_chronic_b_cell,1.708239,1,1
blood_coagulation_disorders & sleep_disorders,blood_coagulation_disorders,sleep_disorders,1.708055,1,1
blood_coagulation_disorders_inherited & sleep_disorders,blood_coagulation_disorders_inherited,sleep_disorders,1.708055,1,1
colorectal_neoplasms & sleep_disorders,colorectal_neoplasms,sleep_disorders,1.706831,1,1
rheumatic_diseases & stomatognathic_diseases,rheumatic_diseases,stomatognathic_diseases,1.706455,1,1
esophageal_diseases & hypotrichosis,esophageal_diseases,hypotrichosis,1.706446,1,1
carbohydrate_metabolism_inborn_errors & cardiovascular_diseases,carbohydrate_metabolism_inborn_errors,cardiovascular_diseases,1.706168,1,1
cerebellar_ataxia & glomerulonephritis,cerebellar_ataxia,glomerulonephritis,1.705909,1,1
celiac_disease & genital_diseases_female,celiac_disease,genital_diseases_female,1.705807,1,1
genital_diseases_female & malabsorption_syndromes,genital_diseases_female,malabsorption_syndromes,1.705807,1,1
lymphatic_diseases & nervous_system_diseases,lymphatic_diseases,nervous_system_diseases,1.704389,1,1
amyotrophic_lateral_sclerosis & lupus_erythematosus_systemic,amyotrophic_lateral_sclerosis,lupus_erythematosus_systemic,1.703286,1,1
lupus_erythematosus_systemic & motor_neuron_disease,lupus_erythematosus_systemic,motor_neuron_disease,1.703286,1,1
anemia_aplastic & coronary_disease,anemia_aplastic,coronary_disease,1.702532,1,1
cardiomyopathies & liver_cirrhosis,cardiomyopathies,liver_cirrhosis,1.702495,1,1
cardiomyopathies & liver_cirrhosis_biliary,cardiomyopathies,liver_cirrhosis_biliary,1.702495,1,1
cardiomyopathy_hypertrophic & liver_cirrhosis,cardiomyopathy_hypertrophic,liver_cirrhosis,1.702495,1,1
cardiomyopathy_hypertrophic & liver_cirrhosis_biliary,cardiomyopathy_hypertrophic,liver_cirrhosis_biliary,1.702495,1,1
blood_coagulation_disorders & crohn_disease,blood_coagulation_disorders,crohn_disease,1.702465,1,1
blood_coagulation_disorders_inherited & crohn_disease,blood_coagulation_disorders_inherited,crohn_disease,1.702465,1,1
celiac_disease & leprosy,celiac_disease,leprosy,1.700764,1,1
leprosy & malabsorption_syndromes,leprosy,malabsorption_syndromes,1.700764,1,1
dyskinesias & osteoporosis,dyskinesias,osteoporosis,1.699934,1,1
leukemia & varicose_veins,leukemia,varicose_veins,1.699227,1,1
basal_ganglia_diseases & hair_diseases,basal_ganglia_diseases,hair_diseases,1.699076,1,1
colorectal_neoplasms & hair_diseases,colorectal_neoplasms,hair_diseases,1.698797,1,1
cholestasis & lymphoma,cholestasis,lymphoma,1.698727,1,1
basal_ganglia_diseases & lysosomal_storage_diseases,basal_ganglia_diseases,lysosomal_storage_diseases,1.698471,1,1
amyotrophic_lateral_sclerosis & bone_diseases_metabolic,amyotrophic_lateral_sclerosis,bone_diseases_metabolic,1.698338,1,1
bone_diseases_metabolic & motor_neuron_disease,bone_diseases_metabolic,motor_neuron_disease,1.698338,1,1
anemia & bone_diseases_metabolic,anemia,bone_diseases_metabolic,1.698224,1,1
arthritis & myeloproliferative_disorders,arthritis,myeloproliferative_disorders,1.698101,1,1
hypopigmentation & intestinal_neoplasms,hypopigmentation,intestinal_neoplasms,1.697117,1,1
anemia & lupus_erythematosus_systemic,anemia,lupus_erythematosus_systemic,1.696984,1,1
epilepsy & retinitis_pigmentosa,epilepsy,retinitis_pigmentosa,1.694474,1,1
dyskinesias & muscular_diseases,dyskinesias,muscular_diseases,1.693603,1,1
basal_ganglia_diseases & hyperthyroidism,basal_ganglia_diseases,hyperthyroidism,1.693402,1,1
colitis_ulcerative & myeloproliferative_disorders,colitis_ulcerative,myeloproliferative_disorders,1.692131,1,1
macular_degeneration & spondylitis,macular_degeneration,spondylitis,1.692066,1,1
demyelinating_diseases & immune_system_diseases,demyelinating_diseases,immune_system_diseases,1.69064,1,1
endocrine_system_diseases & intellectual_disability,endocrine_system_diseases,intellectual_disability,1.690187,1,1
intellectual_disability & thyroid_diseases,intellectual_disability,thyroid_diseases,1.690187,1,1
endocrine_system_diseases & retinitis_pigmentosa,endocrine_system_diseases,retinitis_pigmentosa,1.688495,1,1
retinitis_pigmentosa & thyroid_diseases,retinitis_pigmentosa,thyroid_diseases,1.688495,1,1
dyskinesias & hemorrhagic_disorders,dyskinesias,hemorrhagic_disorders,1.68806,1,1
esophageal_diseases & osteoporosis,esophageal_diseases,osteoporosis,1.68759,1,1
bile_duct_diseases & spastic_paraplegia_hereditary,bile_duct_diseases,spastic_paraplegia_hereditary,1.687334,1,1
heart_defects_congenital & hypersensitivity,heart_defects_congenital,hypersensitivity,1.687152,1,1
anemia_hemolytic & hyperthyroidism,anemia_hemolytic,hyperthyroidism,1.687115,1,1
anemia_aplastic & bone_diseases,anemia_aplastic,bone_diseases,1.686893,1,1
blood_coagulation_disorders & leukemia_b_cell,blood_coagulation_disorders,leukemia_b_cell,1.686886,1,1
blood_coagulation_disorders_inherited & leukemia_b_cell,blood_coagulation_disorders_inherited,leukemia_b_cell,1.686886,1,1
bone_diseases_metabolic & endocrine_system_diseases,bone_diseases_metabolic,endocrine_system_diseases,1.686759,1,1
bone_diseases_metabolic & thyroid_diseases,bone_diseases_metabolic,thyroid_diseases,1.686759,1,1
dyskinesias & mycobacterium_infections,dyskinesias,mycobacterium_infections,1.686181,1,1
hair_diseases & spondylitis_ankylosing,hair_diseases,spondylitis_ankylosing,1.686009,1,1
charcot_marie_tooth_disease & lung_diseases_obstructive,charcot_marie_tooth_disease,lung_diseases_obstructive,1.686008,1,1
hereditary_sensory_and_motor_neuropathy & lung_diseases_obstructive,hereditary_sensory_and_motor_neuropathy,lung_diseases_obstructive,1.686008,1,1
glomerulonephritis & heart_defects_congenital,glomerulonephritis,heart_defects_congenital,1.685999,1,1
esophageal_diseases & retinitis_pigmentosa,esophageal_diseases,retinitis_pigmentosa,1.684784,1,1
blood_coagulation_disorders & cardiomegaly,blood_coagulation_disorders,cardiomegaly,1.684259,1,1
blood_coagulation_disorders_inherited & cardiomegaly,blood_coagulation_disorders_inherited,cardiomegaly,1.684259,1,1
hyperthyroidism & precursor_cell_lymphoblastic_leukemia_lymphoma,hyperthyroidism,precursor_cell_lymphoblastic_leukemia_lymphoma,1.684245,1,1
anemia & dwarfism,anemia,dwarfism,1.68365,1,1
bone_diseases_metabolic & esophageal_diseases,bone_diseases_metabolic,esophageal_diseases,1.683618,1,1
goiter & metabolism_inborn_errors,goiter,metabolism_inborn_errors,1.682878,1,1
anemia_hemolytic & arthritis_rheumatoid,anemia_hemolytic,arthritis_rheumatoid,1.681967,1,1
death_sudden & myocardial_ischemia,death_sudden,myocardial_ischemia,1.68063,1,1
coronary_artery_disease & death_sudden,coronary_artery_disease,death_sudden,1.680603,1,1
charcot_marie_tooth_disease & parkinsonian_disorders,charcot_marie_tooth_disease,parkinsonian_disorders,1.6803,1,1
hereditary_sensory_and_motor_neuropathy & parkinsonian_disorders,hereditary_sensory_and_motor_neuropathy,parkinsonian_disorders,1.6803,1,1
metal_metabolism_inborn_errors & sleep_disorders,metal_metabolism_inborn_errors,sleep_disorders,1.679633,1,1
basal_ganglia_diseases & hypopigmentation,basal_ganglia_diseases,hypopigmentation,1.679632,1,1
macular_degeneration & spondylarthropathies,macular_degeneration,spondylarthropathies,1.679235,1,1
amyotrophic_lateral_sclerosis & celiac_disease,amyotrophic_lateral_sclerosis,celiac_disease,1.678895,1,1
amyotrophic_lateral_sclerosis & malabsorption_syndromes,amyotrophic_lateral_sclerosis,malabsorption_syndromes,1.678895,1,1
celiac_disease & motor_neuron_disease,celiac_disease,motor_neuron_disease,1.678895,1,1
malabsorption_syndromes & motor_neuron_disease,malabsorption_syndromes,motor_neuron_disease,1.678895,1,1
carbohydrate_metabolism_inborn_errors & cholestasis,carbohydrate_metabolism_inborn_errors,cholestasis,1.678828,1,1
liver_cirrhosis & lymphatic_diseases,liver_cirrhosis,lymphatic_diseases,1.678126,1,1
liver_cirrhosis_biliary & lymphatic_diseases,liver_cirrhosis_biliary,lymphatic_diseases,1.678126,1,1
amino_acid_metabolism_inborn_errors & hyperthyroidism,amino_acid_metabolism_inborn_errors,hyperthyroidism,1.677895,1,1
hypopigmentation & osteoporosis,hypopigmentation,osteoporosis,1.677625,1,1
autoimmune_diseases & spinocerebellar_ataxias,autoimmune_diseases,spinocerebellar_ataxias,1.677304,1,1
arthritis & cardiomyopathies,arthritis,cardiomyopathies,1.677179,1,1
arthritis & cardiomyopathy_hypertrophic,arthritis,cardiomyopathy_hypertrophic,1.677179,1,1
albuminuria & esophageal_diseases,albuminuria,esophageal_diseases,1.67679,1,1
albuminuria & spondylitis_ankylosing,albuminuria,spondylitis_ankylosing,1.67679,1,1
esophageal_diseases & glioma,esophageal_diseases,glioma,1.67679,1,1
esophageal_diseases & proteinuria,esophageal_diseases,proteinuria,1.67679,1,1
glioma & spondylitis_ankylosing,glioma,spondylitis_ankylosing,1.67679,1,1
proteinuria & spondylitis_ankylosing,proteinuria,spondylitis_ankylosing,1.67679,1,1
colitis_ulcerative & liver_cirrhosis_biliary,colitis_ulcerative,liver_cirrhosis_biliary,1.676614,1,1
genital_diseases_female & hair_diseases,genital_diseases_female,hair_diseases,1.676543,1,1
glomerulonephritis & nervous_system_diseases,glomerulonephritis,nervous_system_diseases,1.675936,1,1
bone_diseases_metabolic & gastroenteritis,bone_diseases_metabolic,gastroenteritis,1.675785,1,1
death_sudden & macular_degeneration,death_sudden,macular_degeneration,1.675422,1,1
cranial_nerve_diseases & osteoporosis,cranial_nerve_diseases,osteoporosis,1.67492,1,1
cerebellar_ataxia & lupus_erythematosus_systemic,cerebellar_ataxia,lupus_erythematosus_systemic,1.674728,1,1
bone_diseases_metabolic & goiter,bone_diseases_metabolic,goiter,1.674649,1,1
carbohydrate_metabolism_inborn_errors & psoriasis,carbohydrate_metabolism_inborn_errors,psoriasis,1.674145,1,1
ectodermal_dysplasia & lipid_metabolism_disorders,ectodermal_dysplasia,lipid_metabolism_disorders,1.673859,1,1
asthma & hyperthyroidism,asthma,hyperthyroidism,1.673759,1,1
muscular_diseases & pancreatic_diseases,muscular_diseases,pancreatic_diseases,1.673646,1,1
bone_diseases_metabolic & graves_disease,bone_diseases_metabolic,graves_disease,1.67274,1,1
asthma & bone_diseases_metabolic,asthma,bone_diseases_metabolic,1.671926,1,1
anemia & vascular_diseases,anemia,vascular_diseases,1.671884,1,1
carbohydrate_metabolism_inborn_errors & spondylitis_ankylosing,carbohydrate_metabolism_inborn_errors,spondylitis_ankylosing,1.670575,1,1
blood_coagulation_disorders & neoplasms_connective_and_soft_tissue,blood_coagulation_disorders,neoplasms_connective_and_soft_tissue,1.668288,1,1
blood_coagulation_disorders_inherited & neoplasms_connective_and_soft_tissue,blood_coagulation_disorders_inherited,neoplasms_connective_and_soft_tissue,1.668288,1,1
macular_degeneration & muscular_diseases,macular_degeneration,muscular_diseases,1.667872,1,1
cardiovascular_diseases & epilepsy,cardiovascular_diseases,epilepsy,1.667761,1,1
joint_diseases & uveal_diseases,joint_diseases,uveal_diseases,1.667208,1,1
asthma & rheumatic_diseases,asthma,rheumatic_diseases,1.666808,1,1
lymphoma & rheumatic_diseases,lymphoma,rheumatic_diseases,1.666808,1,1
anemia_hemolytic & exophthalmos,anemia_hemolytic,exophthalmos,1.666755,1,1
esophageal_diseases & stomatognathic_diseases,esophageal_diseases,stomatognathic_diseases,1.666466,1,1
cardiomyopathies & metal_metabolism_inborn_errors,cardiomyopathies,metal_metabolism_inborn_errors,1.666091,1,1
cardiomyopathy_hypertrophic & metal_metabolism_inborn_errors,cardiomyopathy_hypertrophic,metal_metabolism_inborn_errors,1.666091,1,1
blood_platelet_disorders & spinocerebellar_ataxias,blood_platelet_disorders,spinocerebellar_ataxias,1.665721,1,1
bone_diseases_metabolic & neoplasms,bone_diseases_metabolic,neoplasms,1.665436,1,1
blood_platelet_disorders & hair_diseases,blood_platelet_disorders,hair_diseases,1.665391,1,1
dwarfism & esophageal_diseases,dwarfism,esophageal_diseases,1.664987,1,1
basal_ganglia_diseases & spondylarthropathies,basal_ganglia_diseases,spondylarthropathies,1.664912,1,1
movement_disorders & myeloproliferative_disorders,movement_disorders,myeloproliferative_disorders,1.664745,1,1
colorectal_neoplasms & precursor_cell_lymphoblastic_leukemia_lymphoma,colorectal_neoplasms,precursor_cell_lymphoblastic_leukemia_lymphoma,1.664595,1,1
anemia_aplastic & gout,anemia_aplastic,gout,1.664368,1,1
adrenal_gland_diseases & genital_diseases_female,adrenal_gland_diseases,genital_diseases_female,1.664283,1,1
blood_coagulation_disorders & pancreatic_diseases,blood_coagulation_disorders,pancreatic_diseases,1.664177,1,1
blood_coagulation_disorders_inherited & pancreatic_diseases,blood_coagulation_disorders_inherited,pancreatic_diseases,1.664177,1,1
cranial_nerve_diseases & retinitis_pigmentosa,cranial_nerve_diseases,retinitis_pigmentosa,1.663464,1,1
joint_diseases & spinal_cord_diseases,joint_diseases,spinal_cord_diseases,1.663386,1,1
cardiomegaly & graves_disease,cardiomegaly,graves_disease,1.663302,1,1
carbohydrate_metabolism_inborn_errors & goiter,carbohydrate_metabolism_inborn_errors,goiter,1.661905,1,1
cardiovascular_diseases & osteoporosis,cardiovascular_diseases,osteoporosis,1.661407,1,1
lymphatic_diseases & muscular_diseases,lymphatic_diseases,muscular_diseases,1.660448,1,1
muscular_diseases & varicose_veins,muscular_diseases,varicose_veins,1.660406,1,1
bone_diseases & cardiovascular_diseases,bone_diseases,cardiovascular_diseases,1.660276,1,1
albuminuria & ovarian_diseases,albuminuria,ovarian_diseases,1.660041,1,1
ovarian_diseases & proteinuria,ovarian_diseases,proteinuria,1.660041,1,1
basal_ganglia_diseases & spondylitis,basal_ganglia_diseases,spondylitis,1.659984,1,1
